,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,multi,Nation
369,1,10,0,0,20197092,로망,2019-04-03,21830130,73.6,-15832710,-42.0,467182940,3214,-2129,-39.8,60426,149,226,2019-04-10,Y,K
370,7,11,0,0,20198146,콜레트,2019-03-27,15110030,1.8,8334950,123.0,316646841,2150,1248,138.4,39304,67,94,2019-04-10,N,F
371,8,12,-4,0,20196025,덤보,2019-03-27,10688980,1.3,-4295420,-28.7,2427157082,1385,-615,-30.8,301480,130,179,2019-04-10,N,F
372,3,13,0,1,20182501,왓칭,2019-04-17,7983000,1.4,7983000,100.0,14937000,887,887,100.0,1843,5,5,2019-04-10,N,K
373,9,14,0,1,20198530,키코리키: 시간여행,2019-04-10,4020900,0.5,4020900,100.0,4983900,606,606,100.0,713,116,124,2019-04-10,N,F
374,2,15,0,0,20199009,나의 작은 시인에게,2019-04-04,4593450,4.8,280790,6.5,53726050,604,4,0.7,6689,40,52,2019-04-10,Y,F
375,3,16,0,0,20184574,그린 북,2019-01-09,3848900,4.0,-154500,-3.9,3585437410,595,14,2.4,425597,21,31,2019-04-10,Y,F
376,4,17,0,1,20185784,나의 특별한 형제,2019-05-01,2510000,0.4,2510000,100.0,2510000,502,502,100.0,502,4,4,2019-04-10,N,K
377,10,18,0,1,20184464,데드 트리거,2018-12-14,2012000,0.2,2012000,100.0,19206000,402,402,100.0,3838,1,1,2019-04-10,N,F
378,5,19,0,1,20198982,크게 될 놈,2019-04-18,3339000,0.6,3339000,100.0,4396000,371,371,100.0,522,1,2,2019-04-10,N,K
379,6,20,-3,0,20198043,아픈 만큼 사랑한다,2019-04-03,2442800,0.4,-1867800,-43.3,62400500,324,-260,-44.5,7698,24,31,2019-04-10,N,K
380,4,21,0,1,20181668,치에리와 체리,2018-09-27,1557000,1.6,1557000,100.0,15873000,311,311,100.0,3183,1,1,2019-04-10,Y,F
381,7,22,-3,0,19628013,인목대비, ,594000,0.1,-62000,-9.5,6518000,297,-31,-9.5,3273,1,4,2019-04-10,N,K
382,2,23,0,0,20197483,1919 유관순,2019-03-14,2202000,7.4,-5708000,-72.2,442290410,274,-714,-72.3,53427,6,9,2019-04-10,Y,K
383,3,24,13,0,20185350,칠곡 가시나들,2019-02-27,1218000,4.1,1183000,3380.0,334669400,271,267,6675.0,40897,6,6,2019-04-10,Y,K
384,5,25,2,0,20197145,루스 베이더 긴즈버그 : 나는 반대한다,2019-03-28,1826200,1.9,242500,15.3,58171920,259,29,12.6,7399,21,27,2019-04-10,Y,F
385,6,26,0,1,20183821,무곡,2018-04-19,1277000,1.3,1277000,100.0,10487000,255,255,100.0,2111,1,1,2019-04-10,Y,F
386,8,27,-3,0,20196601,항거:유관순 이야기,2019-02-27,1298600,0.2,-312400,-19.4,9251810501,236,-82,-25.8,1151165,6,6,2019-04-10,N,K
387,9,28,0,1,20199448,어린 의뢰인,2019-05-22,2079000,0.4,2079000,100.0,2079000,231,231,100.0,231,1,1,2019-04-10,N,K
388,7,29,0,1,20180802,러브리스,2019-04-18,1582000,1.6,1582000,100.0,9386000,226,226,100.0,1209,1,1,2019-04-10,Y,F
389,4,30,-1,0,20188117,강변호텔,2019-03-27,1014500,3.4,45000,4.6,45957436,145,9,6.6,5843,23,34,2019-04-10,Y,K
390,5,31,3,0,20183345,한강에게,2019-04-04,915500,3.1,323300,54.6,13454680,145,43,42.2,1825,22,27,2019-04-10,Y,K
391,8,32,-2,0,20197987,더 길티,2019-03-27,988500,1.0,-1422500,-59.0,252080000,134,-172,-56.2,30151,22,25,2019-04-10,Y,F
392,6,33,-2,0,20153303,다방의 푸른 꿈,2017-01-26,250000,0.8,-4000,-1.6,5889000,125,-2,-1.6,1359,2,8,2019-04-10,Y,K
393,7,34,-1,0,20189803,막다른 골목의 추억,2019-04-04,879000,3.0,-7800,-0.9,18026060,112,-2,-1.8,2022,11,18,2019-04-10,Y,K
394,9,35,5,0,20197783,철벽선생,2019-03-14,521000,0.5,-10500,-2.0,185851700,103,-1,-1.0,22189,5,5,2019-04-10,Y,F
395,10,36,0,1,20112777,솔로몬과 시바의 여왕,1972-11-24,202000,0.2,202000,100.0,17503000,101,101,100.0,8257,1,3,2019-04-10,Y,F
396,8,37,0,0,20161724,스타박'스 다방,2018-01-11,182000,0.6,30000,19.7,15183000,91,15,19.7,2760,1,4,2019-04-10,Y,K
397,10,38,0,0,20197846,악질경찰,2019-03-20,447000,0.1,-161500,-26.5,2247853478,56,-29,-34.1,261248,3,4,2019-04-10,N,K
398,9,39,-4,0,20186652,오늘도 평화로운,2019-04-04,332200,1.1,-508500,-60.5,14057360,47,-72,-60.5,1648,18,21,2019-04-10,Y,K
399,10,40,-1,0,20183374,파도치는 땅,2019-04-04,260000,0.9,38300,17.3,5408700,36,-5,-12.2,676,11,13,2019-04-10,Y,K
400,1,1,0,0,20183096,생일,2019-04-03,254624830,43.1,-85952580,-25.2,4416755061,32524,-10827,-25.0,530691,717,2526,2019-04-11,N,K
401,1,2,0,0,20185406,헬보이,2019-04-10,227891450,29.1,-64092570,-22.0,522653470,28247,-7801,-21.6,64661,658,2142,2019-04-11,N,F
402,2,3,12,0,20180825,미성년,2019-04-11,188405540,31.9,188304540,186440.1,229637040,23357,23337,116685.0,27610,586,2499,2019-04-11,N,K
403,3,4,-1,0,20176103,돈,2019-03-20,121591550,20.6,-78854290,-39.3,27330312232,15029,-9835,-39.6,3209318,525,1445,2019-04-11,N,K
404,2,5,0,0,20197423,공포의 묘지,2019-04-10,105640250,13.5,-50953020,-32.5,267712520,12690,-6215,-32.9,32202,529,1655,2019-04-11,N,F
405,3,6,0,1,20198104,바이스,2019-04-11,86503500,11.1,86503500,100.0,176717300,11016,11016,100.0,21621,227,938,2019-04-11,N,F
406,4,7,0,1,20198844,아이 엠 마더,2019-04-11,68726200,8.8,68726200,100.0,70067200,9013,9013,100.0,9162,169,722,2019-04-11,N,F
407,5,8,-2,0,20196244,샤잠!,2019-04-03,76314760,9.8,-53375030,-41.2,5052824741,8971,-6844,-43.3,578185,554,1530,2019-04-11,N,F
408,6,9,-2,0,20185352,어스,2019-03-27,71729250,9.2,-44079100,-38.1,11937731384,8471,-5297,-38.5,1402123,410,891,2019-04-11,N,F
409,7,10,-2,0,20198403,파이브 피트,2019-04-10,66899380,8.5,-15667570,-19.0,218463830,7998,-2052,-20.4,25911,417,1146,2019-04-11,N,F
410,1,11,0,0,20183773,장난스런 키스,2019-03-27,46813060,63.5,-28569670,-37.9,2842491728,5750,-3463,-37.6,350733,270,451,2019-04-11,Y,F
411,8,12,-2,0,20181877,캡틴 마블,2019-03-06,23557780,3.0,-12449800,-34.6,50371262923,2881,-1497,-34.2,5670566,175,279,2019-04-11,N,F
412,9,13,-2,0,20198146,콜레트,2019-03-27,18245900,2.3,3135870,20.8,334892741,2111,-39,-1.8,41415,56,71,2019-04-11,N,F
413,1,14,0,0,20197092,로망,2019-04-03,11880980,79.0,-9949150,-45.6,479063920,1663,-1551,-48.3,62089,75,104,2019-04-11,Y,K
414,10,15,5,0,20199814,킹 오브 프리즘 –샤이니 세븐 스타즈- II 카케루x조지x미나토,2019-04-04,9807720,1.3,9187240,1480.7,45889430,1219,1144,1525.3,5430,24,34,2019-04-11,N,F
415,4,16,4,0,20196601,항거:유관순 이야기,2019-02-27,7060300,1.2,5761700,443.7,9258870801,1188,952,403.4,1152353,13,13,2019-04-11,N,K
416,5,17,-1,0,20185784,나의 특별한 형제,2019-05-01,4720000,0.8,2210000,88.0,7230000,944,442,88.0,1446,8,8,2019-04-11,N,K
417,2,18,0,1,20197088,퍼스트 리폼드,2019-04-11,6178830,8.4,6178830,100.0,21425030,820,820,100.0,2530,47,79,2019-04-11,Y,F
418,6,19,0,1,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,4284000,0.7,4284000,100.0,4284000,612,612,100.0,612,2,2,2019-04-11,N,K
419,7,20,-2,0,20198982,크게 될 놈,2019-04-18,5229000,0.9,1890000,56.6,9625000,581,210,56.6,1103,3,3,2019-04-11,N,K
420,3,21,12,0,20198143,우리들의 완벽한 세계,2019-04-04,2500000,3.4,2031550,433.7,20777080,500,441,747.5,2637,5,5,2019-04-11,Y,F
421,8,22,0,1,20185881,증인,2019-02-13,1860000,0.3,1860000,100.0,20472593031,372,372,100.0,2533334,2,2,2019-04-11,N,K
422,4,23,-2,0,20199009,나의 작은 시인에게,2019-04-04,2465100,3.3,-2128350,-46.3,56191150,342,-262,-43.4,7031,36,50,2019-04-11,Y,F
423,5,24,-1,0,20181668,치에리와 체리,2018-09-27,1607000,2.2,50000,3.2,17480000,321,10,3.2,3504,1,1,2019-04-11,Y,F
424,6,25,0,1,19598022,흑인 오르페, ,565000,0.8,565000,100.0,7046000,281,281,100.0,3364,1,3,2019-04-11,Y,F
425,7,26,-1,0,20183821,무곡,2018-04-19,1327000,1.8,50000,3.9,11814000,265,10,3.9,2376,1,1,2019-04-11,Y,F
426,8,27,-5,0,20184574,그린 북,2019-01-09,1735900,2.4,-2113000,-54.9,3587173310,255,-340,-57.1,425852,13,19,2019-04-11,Y,F
427,9,28,0,1,20198125,12번째 솔저,2019-04-11,1743010,2.4,1743010,100.0,1743010,241,241,100.0,241,42,56,2019-04-11,Y,F
428,10,29,-5,0,20197145,루스 베이더 긴즈버그 : 나는 반대한다,2019-03-28,1392450,1.9,-433750,-23.8,59564370,187,-72,-27.8,7586,21,26,2019-04-11,Y,F
429,9,30,-2,0,19628013,인목대비, ,364000,0.1,-230000,-38.7,6882000,182,-115,-38.7,3455,1,4,2019-04-11,N,K
430,10,31,0,1,20183334,"유기농 섹드립 로맨스 ""오목리 미스킴""",2019-04-11,944000,0.2,944000,100.0,944000,172,172,100.0,172,20,20,2019-04-11,N,K
431,2,32,0,1,20189281,폴란드로 간 아이들,2018-10-31,500000,3.3,500000,100.0,378275800,100,100,100.0,49402,1,1,2019-04-11,Y,K
432,3,33,4,0,20189803,막다른 골목의 추억,2019-04-04,491150,3.3,-387850,-44.1,18517210,68,-44,-39.3,2090,11,14,2019-04-11,Y,K
433,4,34,-1,0,20185350,칠곡 가시나들,2019-02-27,547000,3.6,-671000,-55.1,335216400,61,-210,-77.5,40958,3,3,2019-04-11,Y,K
434,5,35,0,0,20183345,한강에게,2019-04-04,334500,2.2,-581000,-63.5,13789180,61,-84,-57.9,1886,17,19,2019-04-11,Y,K
435,6,36,4,0,20183374,파도치는 땅,2019-04-04,308000,2.0,48000,18.5,5716700,48,12,33.3,724,8,10,2019-04-11,Y,K
436,7,37,3,0,20186652,오늘도 평화로운,2019-04-04,376600,2.5,44400,13.4,14433960,48,1,2.1,1696,13,13,2019-04-11,Y,K
437,8,38,-4,0,20188117,강변호텔,2019-03-27,346000,2.3,-668500,-65.9,46303436,43,-102,-70.3,5886,11,13,2019-04-11,Y,K
438,9,39,7,0,20167821,시간의 종말,2016-11-03,83000,0.6,76000,1085.7,25890400,39,38,3800.0,3859,1,7,2019-04-11,Y,K
439,10,40,0,1,20182325,타인은 지옥이다,2019-04-11,55000,0.4,55000,100.0,55000,12,12,100.0,12,5,5,2019-04-11,Y,K
440,1,1,0,0,20183096,생일,2019-04-03,392160230,47.4,137535400,54.0,4808915291,46922,14398,44.3,577613,773,2751,2019-04-12,N,K
441,1,2,0,0,20185406,헬보이,2019-04-10,299767243,28.9,71875793,31.5,822420713,33818,5571,19.7,98479,680,2285,2019-04-12,N,F
442,2,3,0,0,20180825,미성년,2019-04-11,254530580,30.7,66125040,35.1,484167620,28818,5461,23.4,56428,601,2639,2019-04-12,N,K
443,3,4,0,0,20176103,돈,2019-03-20,173443770,21.0,51852220,42.6,27503756002,19989,4960,33.0,3229307,536,1482,2019-04-12,N,K
444,2,5,0,0,20197423,공포의 묘지,2019-04-10,135208577,13.0,29568327,28.0,402921097,14977,2287,18.0,47179,548,1626,2019-04-12,N,F
445,3,6,0,0,20198104,바이스,2019-04-11,114939300,11.1,28435800,32.9,291656600,13494,2478,22.5,35115,235,944,2019-04-12,N,F
446,4,7,1,0,20196244,샤잠!,2019-04-03,115505317,11.1,39190557,51.4,5168330058,13123,4152,46.3,591308,555,1455,2019-04-12,N,F
447,5,8,1,0,20185352,어스,2019-03-27,109573220,10.6,37843970,52.8,12047304604,12152,3681,43.5,1414275,411,909,2019-04-12,N,F
448,6,9,1,0,20198403,파이브 피트,2019-04-10,93586300,9.0,26686920,39.9,312050130,10414,2416,30.2,36325,434,1158,2019-04-12,N,F
449,7,10,-3,0,20198844,아이 엠 마더,2019-04-11,76327900,7.4,7601700,11.1,146395100,9159,146,1.6,18321,183,747,2019-04-12,N,F
450,1,11,0,0,20183773,장난스런 키스,2019-03-27,76386380,71.3,29573320,63.2,2918878108,8815,3065,53.3,359548,296,507,2019-04-12,Y,F
451,8,12,0,0,20181877,캡틴 마블,2019-03-06,42432880,4.1,18875100,80.1,50413695803,4793,1912,66.4,5675359,187,313,2019-04-12,N,F
452,9,13,2,0,20196025,덤보,2019-03-27,11102550,1.1,4152250,59.7,2445209932,1389,451,48.1,303807,115,140,2019-04-12,N,F
453,1,14,0,0,20197092,로망,2019-04-03,8748000,76.9,-3132980,-26.4,487811920,1280,-383,-23.0,63369,74,102,2019-04-12,Y,K
454,10,15,0,1,20183454,요로나의 저주,2019-04-17,7604000,0.7,7604000,100.0,7604000,846,846,100.0,846,2,2,2019-04-12,N,F
455,2,16,0,0,20197088,퍼스트 리폼드,2019-04-11,6448600,6.0,269770,4.4,27873630,823,3,0.4,3353,47,80,2019-04-12,Y,F
456,3,17,5,0,20184574,그린 북,2019-01-09,4780300,4.5,3044400,175.4,3591953610,737,482,189.0,426589,18,26,2019-04-12,Y,F
457,4,18,0,0,20199009,나의 작은 시인에게,2019-04-04,3701180,3.5,1236080,50.1,59892330,447,105,30.7,7478,39,53,2019-04-12,Y,F
458,4,19,0,1,20198633,내 엄마의 친구 2,2019-04-12,2596000,0.3,2596000,100.0,2596000,440,440,100.0,440,25,26,2019-04-12,N,K
459,5,20,0,0,20181668,치에리와 체리,2018-09-27,1722000,1.6,115000,7.2,19202000,344,23,7.2,3848,1,1,2019-04-12,Y,F
460,6,21,3,0,20198125,12번째 솔저,2019-04-11,2200800,2.1,457790,26.3,3943810,275,34,14.1,516,43,57,2019-04-12,Y,F
461,7,22,0,0,20183821,무곡,2018-04-19,1342000,1.3,15000,1.1,13156000,268,3,1.1,2644,1,1,2019-04-12,Y,F
462,5,23,7,0,20198043,아픈 만큼 사랑한다,2019-04-03,1564000,0.2,995000,174.9,64533500,239,156,188.0,8020,12,15,2019-04-12,N,K
463,8,24,2,0,20197145,루스 베이더 긴즈버그 : 나는 반대한다,2019-03-28,2030300,1.9,637850,45.8,61594670,237,50,26.7,7823,23,30,2019-04-12,Y,F
464,6,25,0,1,20177552,국가부도의 날,2018-11-28,1050000,0.1,1050000,100.0,30892815837,150,150,100.0,3755133,1,1,2019-04-12,N,K
465,9,26,0,1,20199189,미스 스티븐스,2019-05-02,1541800,1.4,1541800,100.0,1541800,142,142,100.0,142,1,1,2019-04-12,Y,F
466,10,27,0,1,20195943,브라더 오브 더 이어,2019-03-07,600000,0.6,600000,100.0,37523080,120,120,100.0,4325,5,5,2019-04-12,Y,F
467,7,28,-3,0,20196601,항거:유관순 이야기,2019-02-27,639500,0.1,-6420800,-90.9,9259510301,120,-1068,-89.9,1152473,4,4,2019-04-12,N,K
468,2,29,1,0,20189803,막다른 골목의 추억,2019-04-04,829650,7.3,338500,68.9,19346860,105,37,54.4,2195,11,15,2019-04-12,Y,K
469,3,30,1,0,20183345,한강에게,2019-04-04,484800,4.3,150300,44.9,14273980,67,6,9.8,1953,14,15,2019-04-12,Y,K
470,4,31,4,0,20188117,강변호텔,2019-03-27,518000,4.6,172000,49.7,46821436,61,18,41.9,5947,12,13,2019-04-12,Y,K
471,8,32,5,0,20175407,우상,2019-03-20,547000,0.1,160000,41.3,1569930228,58,13,28.9,182263,4,4,2019-04-12,N,K
472,5,33,1,0,20186652,오늘도 평화로운,2019-04-04,516300,4.5,139700,37.1,14950260,57,9,18.8,1753,13,15,2019-04-12,Y,K
473,9,34,0,1,20180804,곤지암,2018-03-28,374000,0.0,374000,100.0,21442568144,56,56,100.0,2675631,11,11,2019-04-12,N,K
474,10,35,0,1,20156564,부산행,2016-07-20,201000,0.0,201000,100.0,93182840048,33,33,100.0,11566907,9,9,2019-04-12,N,K
475,6,36,-2,0,20185350,칠곡 가시나들,2019-02-27,94000,0.8,-453000,-82.8,335310400,22,-39,-63.9,40980,2,2,2019-04-12,Y,K
476,7,37,3,0,20182325,타인은 지옥이다,2019-04-11,22000,0.2,-33000,-60.0,77000,7,-5,-41.7,19,2,2,2019-04-12,Y,K
477,8,38,-1,0,20183374,파도치는 땅,2019-04-04,52000,0.5,-256000,-83.1,5768700,7,-41,-85.4,731,5,5,2019-04-12,Y,K
478,9,39,3,0,20187301,선희와 슬기,2019-03-27,44000,0.4,28000,175.0,15471780,6,4,200.0,1942,3,3,2019-04-12,Y,K
479,10,40,1,0,20183382,예수보다 낯선,2019-04-04,36000,0.3,-22000,-37.9,4363080,5,-5,-50.0,501,3,3,2019-04-12,Y,K
480,1,1,0,0,20183096,생일,2019-04-03,740871790,51.7,348711560,88.9,5549787081,86031,39109,83.3,663644,862,3271,2019-04-13,N,K
481,1,2,0,0,20185406,헬보이,2019-04-10,550321971,29.8,250554728,83.6,1372742684,61190,27372,80.9,159669,726,2596,2019-04-13,N,F
482,2,3,0,0,20180825,미성년,2019-04-11,369180470,25.8,114649890,45.0,853348090,41609,12791,44.4,98037,670,2834,2019-04-13,N,K
483,3,4,0,0,20176103,돈,2019-03-20,315515980,22.0,142072210,81.9,27819271982,35498,15509,77.6,3264805,561,1554,2019-04-13,N,K
484,2,5,2,0,20196244,샤잠!,2019-04-03,212333409,11.5,96828092,83.8,5380663467,23732,10609,80.8,615040,581,1361,2019-04-13,N,F
485,3,6,0,0,20198104,바이스,2019-04-11,195826300,10.6,80887000,70.4,487482900,22198,8704,64.5,57313,241,949,2019-04-13,N,F
486,4,7,-2,0,20197423,공포의 묘지,2019-04-10,198862379,10.8,63653802,47.1,601783476,22097,7120,47.5,69276,516,1514,2019-04-13,N,F
487,5,8,0,0,20185352,어스,2019-03-27,182986540,9.9,73413320,67.0,12230291144,20068,7916,65.1,1434343,406,842,2019-04-13,N,F
488,6,9,1,0,20198844,아이 엠 마더,2019-04-11,141318600,7.7,64990700,85.1,287713700,16108,6949,75.9,34429,213,837,2019-04-13,N,F
489,1,10,0,0,20183773,장난스런 키스,2019-03-27,134139960,77.8,57753580,75.6,3053018068,15666,6851,77.7,375214,307,596,2019-04-13,Y,F
490,7,11,-1,0,20198403,파이브 피트,2019-04-10,129172010,7.0,35585710,38.0,441222140,14227,3813,36.6,50552,445,1031,2019-04-13,N,F
491,8,12,1,0,20196025,덤보,2019-03-27,84014430,4.5,72911880,656.7,2529224362,10479,9090,654.4,314286,302,455,2019-04-13,N,F
492,9,13,-1,0,20181877,캡틴 마블,2019-03-06,88213170,4.8,45780290,107.9,50501908973,9959,5166,107.8,5685318,202,324,2019-04-13,N,F
493,10,14,2,0,20198530,키코리키: 시간여행,2019-04-10,26381500,1.4,21505500,441.0,39444500,3516,2790,384.3,5434,286,338,2019-04-13,N,F
494,1,15,0,0,20197092,로망,2019-04-03,9110180,65.2,362180,4.1,496922100,1216,-64,-5.0,64585,72,99,2019-04-13,Y,K
495,2,16,0,0,20197088,퍼스트 리폼드,2019-04-11,8516810,4.9,2068210,32.1,36390440,1014,191,23.2,4367,54,89,2019-04-13,Y,F
496,3,17,1,0,20199009,나의 작은 시인에게,2019-04-04,5914000,3.4,2212820,59.8,65806330,707,260,58.2,8185,40,58,2019-04-13,Y,F
497,4,18,-1,0,20184574,그린 북,2019-01-09,3736700,2.2,-1043600,-21.8,3595690310,517,-220,-29.9,427106,17,25,2019-04-13,Y,F
498,5,19,3,0,20197145,루스 베이더 긴즈버그 : 나는 반대한다,2019-03-28,3705000,2.1,1674700,82.5,65299670,455,218,92.0,8278,24,34,2019-04-13,Y,F
499,2,20,0,0,20189803,막다른 골목의 추억,2019-04-04,2061500,14.8,1231850,148.5,21408360,358,253,241.0,2553,11,15,2019-04-13,Y,K
500,6,21,-1,0,20181668,치에리와 체리,2018-09-27,1607000,0.9,-115000,-6.7,20809000,321,-23,-6.7,4169,1,1,2019-04-13,Y,F
501,7,22,-1,0,20198125,12번째 솔저,2019-04-11,2256610,1.3,55810,2.5,6200420,289,14,5.1,805,44,52,2019-04-13,Y,F
502,8,23,-1,0,20183821,무곡,2018-04-19,1322000,0.8,-20000,-1.5,14478000,264,-4,-1.5,2908,1,1,2019-04-13,Y,F
503,4,24,0,1,20184105,말모이,2019-01-09,1500000,0.1,1500000,100.0,23978681520,225,225,100.0,2864573,1,3,2019-04-13,N,K
504,5,25,0,0,20198043,아픈 만큼 사랑한다,2019-04-03,1587000,0.1,23000,1.5,66120500,212,-27,-11.3,8232,11,15,2019-04-13,N,K
505,9,26,4,0,20180937,더 페이버릿: 여왕의 여자,2019-02-21,1297000,0.8,568500,78.0,1375538276,146,61,71.8,163800,6,6,2019-04-13,Y,F
506,6,27,1,0,20196601,항거:유관순 이야기,2019-02-27,740000,0.1,100500,15.7,9260250301,142,22,18.3,1152615,4,4,2019-04-13,N,K
507,10,28,5,0,20197987,더 길티,2019-03-27,1172000,0.7,539800,85.4,254414700,140,65,86.7,30430,12,13,2019-04-13,Y,F
508,3,29,0,1,20170272,산상수훈,2017-12-07,970000,6.9,970000,100.0,395674700,103,103,100.0,53074,3,3,2019-04-13,Y,K
509,7,30,4,0,20185484,안나 카레니나,2018-06-29,1170000,0.1,869500,289.4,61105300,97,69,246.4,4398,2,2,2019-04-13,N,K
510,4,31,-1,0,20183345,한강에게,2019-04-04,590500,4.2,105700,21.8,14864480,91,24,35.8,2044,13,14,2019-04-13,Y,K
511,5,32,-1,0,20188117,강변호텔,2019-03-27,466600,3.3,-51400,-9.9,47288036,69,8,13.1,6016,11,11,2019-04-13,Y,K
512,8,33,2,0,20156564,부산행,2016-07-20,423500,0.0,222500,110.7,93183263548,63,30,90.9,11566970,10,10,2019-04-13,N,K
513,9,34,0,0,20180804,곤지암,2018-03-28,277500,0.0,-96500,-25.8,21442845644,42,-14,-25.0,2675673,9,9,2019-04-13,N,K
514,6,35,-1,0,20186652,오늘도 평화로운,2019-04-04,273500,2.0,-242800,-47.0,15223760,37,-20,-35.1,1790,9,10,2019-04-13,Y,K
515,7,36,3,0,20183382,예수보다 낯선,2019-04-04,186000,1.3,150000,416.7,4549080,35,30,600.0,536,7,9,2019-04-13,Y,K
516,10,37,0,1,20149097,라오스 , ,268000,0.0,268000,100.0,1437000,34,34,100.0,234,1,1,2019-04-13,N,K
517,8,38,-2,0,20185350,칠곡 가시나들,2019-02-27,136000,1.0,42000,44.7,335446400,23,1,4.5,41003,3,3,2019-04-13,Y,K
518,9,39,2,0,20197483,1919 유관순,2019-03-14,50500,0.4,44500,741.7,442346910,11,9,450.0,53440,3,3,2019-04-13,Y,K
519,10,40,-3,0,20183374,파도치는 땅,2019-04-04,40000,0.3,-12000,-23.1,5808700,7,0,0.0,738,3,5,2019-04-13,Y,K
520,1,1,0,0,20183096,생일,2019-04-03,851549350,53.8,110677560,14.9,6401336431,98132,12101,14.1,761776,865,3228,2019-04-14,N,K
521,1,2,0,0,20185406,헬보이,2019-04-10,545641670,29.8,-4680301,-0.9,1918384354,60574,-616,-1.0,220243,726,2558,2019-04-14,N,F
522,2,3,0,0,20180825,미성년,2019-04-11,388280050,24.5,19099580,5.2,1241628140,43551,1942,4.7,141588,673,2745,2019-04-14,N,K
523,3,4,0,0,20176103,돈,2019-03-20,337997300,21.3,22481320,7.1,28157269282,37979,2481,7.0,3302784,563,1542,2019-04-14,N,K
524,2,5,0,0,20196244,샤잠!,2019-04-03,196528190,10.7,-15805219,-7.4,5577191657,21931,-1801,-7.6,636971,563,1277,2019-04-14,N,F
525,3,6,0,0,20198104,바이스,2019-04-11,177924600,9.7,-17901700,-9.1,665407500,20075,-2123,-9.6,77388,238,915,2019-04-14,N,F
526,4,7,0,0,20197423,공포의 묘지,2019-04-10,161764200,8.8,-37098179,-18.7,763547676,17858,-4239,-19.2,87134,498,1384,2019-04-14,N,F
527,5,8,1,0,20198844,아이 엠 마더,2019-04-11,155746300,8.5,14427700,10.2,443460000,17664,1556,9.7,52093,212,807,2019-04-14,N,F
528,6,9,1,0,20198403,파이브 피트,2019-04-10,152974620,8.3,23802610,18.4,594196760,16843,2616,18.4,67395,457,1026,2019-04-14,N,F
529,7,10,-2,0,20185352,어스,2019-03-27,151876940,8.3,-31109600,-17.0,12382168084,16560,-3508,-17.5,1450903,384,800,2019-04-14,N,F
530,8,11,0,0,20196025,덤보,2019-03-27,125429200,6.8,41414770,49.3,2654653562,15405,4926,47.0,329691,307,466,2019-04-14,N,F
531,1,12,0,0,20183773,장난스런 키스,2019-03-27,132490160,77.2,-1649800,-1.2,3185508228,15334,-332,-2.1,390548,322,622,2019-04-14,Y,F
532,9,13,0,0,20181877,캡틴 마블,2019-03-06,96871660,5.3,8658490,9.8,50598780633,11021,1062,10.7,5696339,212,336,2019-04-14,N,F
533,10,14,0,0,20198530,키코리키: 시간여행,2019-04-10,36931400,2.0,10549900,40.0,76375900,4802,1286,36.6,10236,292,339,2019-04-14,N,F
534,1,15,0,0,20197092,로망,2019-04-03,12493230,71.2,3383050,37.1,509415330,1617,401,33.0,66202,77,105,2019-04-14,Y,K
535,2,16,0,0,20197088,퍼스트 리폼드,2019-04-11,8634600,5.0,117790,1.4,45025040,1059,45,4.4,5426,53,85,2019-04-14,Y,F
536,3,17,0,0,20199009,나의 작은 시인에게,2019-04-04,5500500,3.2,-413500,-7.0,71306830,687,-20,-2.8,8872,43,60,2019-04-14,Y,F
537,4,18,0,0,20184574,그린 북,2019-01-09,4369200,2.5,632500,16.9,3600059510,614,97,18.8,427720,17,23,2019-04-14,Y,F
538,5,19,0,0,20197145,루스 베이더 긴즈버그 : 나는 반대한다,2019-03-28,4175680,2.4,470680,12.7,69475350,527,72,15.8,8805,25,33,2019-04-14,Y,F
539,6,20,1,0,20198125,12번째 솔저,2019-04-11,3463890,2.0,1207280,53.5,9664310,435,146,50.5,1240,43,49,2019-04-14,Y,F
540,4,21,1,0,20198043,아픈 만큼 사랑한다,2019-04-03,2381500,0.2,794500,50.1,68502000,369,157,74.1,8601,13,17,2019-04-14,N,K
541,7,22,-1,0,20181668,치에리와 체리,2018-09-27,1612000,0.9,5000,0.3,22421000,322,1,0.3,4491,1,1,2019-04-14,Y,F
542,8,23,0,0,20183821,무곡,2018-04-19,1277000,0.7,-45000,-3.4,15755000,255,-9,-3.4,3163,1,1,2019-04-14,Y,F
543,2,24,7,0,20197483,1919 유관순,2019-03-14,1605000,9.2,1554500,3078.2,443951910,201,190,1727.3,53641,3,3,2019-04-14,Y,K
544,9,25,18,0,20181171,바울,2018-10-31,307000,0.2,250000,438.6,2137821900,151,125,480.8,272604,2,9,2019-04-14,Y,F
545,5,26,1,0,20196601,항거:유관순 이야기,2019-02-27,671800,0.0,-68200,-9.2,9260922101,126,-16,-11.3,1152741,4,4,2019-04-14,N,K
546,10,27,2,0,20050348,비브르 사 비,1997-05-03,891000,0.5,-112000,-11.2,15803000,123,5,4.2,2098,4,5,2019-04-14,Y,F
547,3,28,-1,0,20189803,막다른 골목의 추억,2019-04-04,953000,5.4,-1108500,-53.8,22361360,115,-243,-67.9,2668,8,11,2019-04-14,Y,K
